Label,Parent,Value,Color,ColorToned50
Community Infrastructure,,707,#80b1d3,rgba(128, 177, 211, 0.5)
Clean drinking water,Community Infrastructure,111,#80b1d3,rgba(128, 177, 211, 0.5)
Broadband,Community Infrastructure,100,#80b1d3,rgba(128, 177, 211, 0.5)
Electric,Community Infrastructure,100,#80b1d3,rgba(128, 177, 211, 0.5)
Housing,Community Infrastructure,213,#80b1d3,rgba(128, 177, 211, 0.5)
Schools and VA hospitals,Community Infrastructure,155,#80b1d3,rgba(128, 177, 211, 0.5)
Other,Community Infrastructure,28,#80b1d3,rgba(128, 177, 211, 0.5)
Transportation,,621,#fdb462,rgba(253, 180, 98, 0.5)
Electrifying vehicles,Transportation,174,#fdb462,rgba(253, 180, 98, 0.5)
Bridge and road repair,Transportation,115,#fdb462,rgba(253, 180, 98, 0.5)
Modernizing public transit,Transportation,85,#fdb462,rgba(253, 180, 98, 0.5)
Rail service,Transportation,80,#fdb462,rgba(253, 180, 98, 0.5)
Ports,Transportation,42,#fdb462,rgba(253, 180, 98, 0.5)
Redress historic inequities,Transportation,45,#fdb462,rgba(253, 180, 98, 0.5)
Infrastructure,Transportation,50,#fdb462,rgba(253, 180, 98, 0.5)
Workforce Development,,580,#b3de69,rgba(179, 222, 105, 0.5)
Research & development,Workforce Development,180,#b3de69,rgba(179, 222, 105, 0.5)
Manufacturing,Workforce Development,300,#b3de69,rgba(179, 222, 105, 0.5)
Workforce development,Workforce Development,100,#b3de69,rgba(179, 222, 105, 0.5)
Elder care,,400,#fccde5,rgba(252, 205, 229, 0.5)
Home/community-based care,Elder care,400,#fccde5,rgba(252, 205, 229, 0.5)
